"","Estimate","p.value"
"11_19_15_8=11_19_15_8.NA",0.369854211456432,0.0216921988446847
"09_31_20_4=09_31_20_4_4",0.179861523229082,0.0226655078740013
"16_12_09=16_12_09.NA",0.997279450001369,0.0323412488239387
"11_19_15_3=11_19_15_3.NA",0.0499117126357848,0.0395488330707861
"08_20_16_1=08_20_16_1_1",0.112507330310897,0.046761359601216
"09_31_20_3=09_31_20_3_1",-0.0666430269188603,0.0357402827350292
"09_31_20_3=09_31_20_3_5",-0.772628995352504,0.0240655175735317
"11_19_15_2=11_19_15_2.NA",-0.276377090295352,0.0179561692611768
"08_20_16_2=08_20_16_2_1",-0.652562656447497,0.0165865741698042
"06_16_13_3=06_16_13_3_2",-0.167405670463355,0.0150637620940146
"08_20_16_1=08_20_16_1.NA",-2.82448321224214,0.0144360988243523
"10_32_19_5=10_32_19_5_2",-0.156297606165196,0.00929091684368684
"07_17_14_3=07_17_14_3_4",-0.15006012038511,0.00369022738942501
"07_17_14_1=07_17_14_1_5",-0.962336504803282,0.000590984112237315
"07_17_14_3=07_17_14_3_5",-0.432778968217312,9.24604718417214e-05
"07_17_14_3=07_17_14_3_2",-0.326840818149454,8.65587773350367e-05
"07_17_14_3=07_17_14_3_1",-0.638893882594185,5.82314181336431e-05
"07_17_14_1=07_17_14_1_1",-0.118468294229404,1.7729487392611e-05
"10_32_19_7=10_32_19_7_3",-0.933155500831228,9.03599071969282e-06
"07_17_14_2=07_17_14_2_5",-0.826640224171373,5.07971455786248e-06
"11_19_15_2=11_19_15_2_2",-0.375505581829398,3.2302574358065e-06
"10_32_19_7=10_32_19_7_4",-2.21184912765437,2.70738394087321e-06
"09_31_20_4=09_31_20_4_1",-0.606577018336505,2.38622774205849e-06
"09_31_20_2=09_31_20_2_2",-0.346352735794969,6.67903205219622e-08
"10_32_19_5=10_32_19_5_5",-0.946143407164633,6.60606461957917e-08
"06_16_13_7=06_16_13_7_2",-0.360080775289988,1.2335936146953e-08
"08_22_18=08_22_18_1",-1.16190185539379,3.68481686926764e-09
"07_17_14_2=07_17_14_2_1",-0.807358832589026,5.38400624766875e-10
"08_22_18=08_22_18_2",-0.686931822659401,1.88827512819025e-10
"10_32_19_5=10_32_19_5_1",-0.786635720959629,1.8739611143917e-10
"11_19_15_3=11_19_15_3_2",-0.764406731301513,9.31424886207301e-12
"06_16_13_6=06_16_13_6_2",-0.485603807133368,4.94958763271742e-13
"10_32_19_3=10_32_19_3_2",-0.849381076297151,7.75258190439961e-14
"09_31_20_5=09_31_20_5_1",-0.648853797424862,1.86915274154474e-14
"08_20_16_2=08_20_16_2_2",-0.889842717709996,2.52757225185457e-17
"09_31_20_2=09_31_20_2_1",-1.13543397820761,1.55347328020303e-25
"10_32_19_4=10_32_19_4_4",-1.0627837149186,3.10446809520801e-28
"09_31_20_1=09_31_20_1_1",-1.50584672372962,1.80409443430927e-49
"10_32_19_2=10_32_19_2_2",-0.591417370213252,2.23242438089217e-50
"10_32_19_6=10_32_19_6_2",-0.32914756698456,4.07428560040438e-56
"16_12_09=16_12_09_1",-1.46339396165071,4.64852733439811e-59
"10_32_19_4=10_32_19_4_5",-2.13417643183698,1.46867722112478e-66
"10_32_19_8=10_32_19_8_1",-0.932726276521761,2.72764442075476e-74
"11_19_15_7=11_19_15_7_2",-1.28604966075873,1.2887585314946e-102
"10_32_19_1=10_32_19_1_1",-1.61266594076047,1.15634644229168e-107
"11_19_15_4=11_19_15_4_2",-1.36798142821783,2.20377513051201e-117
"11_19_15_6=11_19_15_6_2",-1.34882531615339,5.61329004287228e-120
"11_19_15_8=11_19_15_8_2",-1.38552790499745,6.57879120984155e-130
"10_32_19_3=10_32_19_3_1",-2.59663772577629,4.95360424999123e-137
"11_19_15_9=11_19_15_9_2",-1.4163058553542,4.73692202272521e-143
"11_19_15_1=11_19_15_1_2",-1.34995810171872,2.04113763549774e-153
"11_19_15_10=11_19_15_10_2",-1.55096352628646,1.32982736290637e-179
"10_32_19_6=10_32_19_6_1",-2.62721234608871,1.57745055311306e-182
"11_19_15_5=11_19_15_5_2",-1.66489760531972,6.32328891119985e-200
"11_19_15_11=11_19_15_11_2",-1.65597908539024,8.49029432466384e-203
"10_32_19_2=10_32_19_2_1",-3.09786775777924,2.07759083019012e-226
