"","coord.dim1","coord.dim2","load.dim1","load.dim2","rotLoad.dim1","rotLoad.dim2"
"07_17_14_2_2",0.0901424787512086,0.468234308104244,0.0391948313886592,0.246040715738676,0.0489478285339516,0.38861963072949
"07_17_14_2_3",0.838083040211495,0.135142513167491,0.36440670265398,0.0710126534748716,0.123314263922825,0.0703415835195428
"07_17_14_2_4",0.0489365915639773,-1.23772386176689,0.0212781086304447,-0.650380503019796,-0.0381273788491235,-0.641529640238882
"07_17_14_2_5",-0.673033209369501,-1.81633600872614,-0.292641421953932,-0.954420903966346,-0.142361202230089,-1.23400085532256
"07_17_14_2.NA",1.27126500544131,-1.20053525507031,0.552758457819834,-0.630839193785116,0.56151477788049,-0.736632281931865
"07_17_14_3_1",-0.745296564109814,2.3625509216546,-0.324062235358039,1.24143769406054,0.129451307240191,1.14751171697496
"07_17_14_3_2",-0.433243499665056,0.819357662487317,-0.188378510940124,0.43054373042538,-0.0336539535651331,0.634970115402105
"07_17_14_3_3",0.624635242498269,0.258196108109803,0.271597512607846,0.13567300417921,0.0807170151306867,0.0781480632273557
"07_17_14_3_4",-0.256462801900719,-1.00379969697466,-0.111512534569913,-0.527461554241615,-0.0968030220678556,-0.431144197602484
"07_17_14_3_5",-0.53918164973292,-1.381084012747,-0.234441454704922,-0.725711237109656,-0.0956740624387115,-0.963998258935318
"07_17_14_3.NA",0.711133183816557,0.422717222629247,0.309207663475713,0.222123082846826,0.0362447780991893,0.0526846744907565
"08_20_16_1_1",-0.308455816053092,1.61130053241191,-0.134119605634764,0.846681948338728,0.369118287344999,1.00627616127062
"08_20_16_1_2",-0.367270202261139,0.466928748021339,-0.159692675985029,0.245354689679334,0.0506711669982764,0.489993953542494
"08_20_16_1_3",0.817926322335389,0.524460945502475,0.355642364581103,0.275585842760765,-0.0220995776527452,0.233284709671681
"08_20_16_1_4",-0.254883832805776,-0.660017207175599,-0.110825983364515,-0.346815906572085,-0.204818046094676,-0.349540810216323
"08_20_16_1_5",0.832351009206943,-1.07997542621319,0.361914359511764,-0.567489229743749,0.164802805076456,-1.1567056483883
"08_20_16_1.NA",-3.24544635860584,1.97442159426565,-1.41115181841822,1.03748933774171,-1.45855805680778,1.03174988854803
"08_20_16_2_1",-0.391437380440057,1.6368619322431,-0.170200801421392,0.86011356793792,0.40947667682129,1.10057929593154
"08_20_16_2_2",-0.628717441702631,0.609816574437812,-0.27337249274736,0.320437233767551,-0.0803546269253078,0.548061213398483
"08_20_16_2_3",0.836764735424515,0.38332013580557,0.363833490839081,0.201421294719933,0.082696242251056,0.196960676671513
"08_20_16_2_4",-0.126869585199942,-0.782983363682329,-0.0551641364776003,-0.411430311443534,-0.172822408877614,-0.433238881342889
"08_20_16_2_5",0.832546682293919,-1.14545266241371,0.361999440083738,-0.601895222172182,0.164467350058868,-1.18429674976761
"08_20_16_2.NA",1.04446464566861,-0.404771788546017,0.454143443197118,-0.21269338628325,0.287477882997741,-0.0382387425303297
"08_22_18_1",-1.13420472664723,1.93611794560513,-0.49316330809865,1.01736211304091,0.0813118061393177,1.18208480473057
"08_22_18_2",-0.659234693912807,0.588304508377577,-0.286641692478646,0.309133397122374,-0.0351858722544133,0.583593108038631
"08_22_18_3",0.306117763026506,0.697199633874241,0.133102997311759,0.366353968434477,-0.0231093690708017,0.446239983914416
"08_22_18_4",0.290598118278885,-0.38934115855553,0.126354903987481,-0.204585131118161,0.0136264480946545,-0.118899900072531
"08_22_18_5",0.204234726021377,-0.899829467452508,0.0888032563671826,-0.472828843130131,0.00564789792284066,-0.782495673528145
