name,Dim.1,Dim.2,coord,cos2,contrib,,,,,,,,,,,,
102,-0.61793503,-2.14691219,4.991075653,0.066881902,0.026709599,,,,,,,,,,,,
105,-2.995290719,3.82619488,23.61153375,0.199745795,0.126356451,,,,,,,,,,,,
106,1.376904314,-1.950268498,5.699412703,0.068983399,0.030500245,,,,,,,,,,,,
112,-0.305555598,-1.205838702,1.547411198,0.018214695,0.008280927,,,,,,,,,,,,
120,1.231902055,-1.438031723,3.585517909,0.047840674,0.019187797,,,,,,,,,,,,
121,0.884447385,-0.090561445,0.790448553,0.012908321,0.004230063,,,,,,,,,,,,
123,-2.394294394,-1.670878097,8.524479258,0.075484676,0.045618508,,,,,,,,,,,,
124,1.11869661,3.194864331,11.4586402,0.013775138,0.061320587,,,,,,,,,,,,
125,2.139823151,1.069925622,5.723583956,0.03216493,0.030629597,,,,,,,,,,,,
126,-2.794848385,2.759253003,15.42465463,0.199495955,0.0825446,,,,,,,,,,,,
127,1.733641375,2.809017555,10.89609204,0.056391156,0.058310127,,,,,,,,,,,,
128,-0.556827655,-0.23197192,0.363868009,0.004492472,0.001947229,,,,,,,,,,,,
129,-0.530082251,0.308995707,0.37646554,0.004314151,0.002014645,,,,,,,,,,,,
130,-0.135349394,-2.117841681,4.503572846,0.074228351,0.024100742,,,,,,,,,,,,
131,0.796086282,-1.879023023,4.164480889,0.042595295,0.022286101,,,,,,,,,,,,
132,2.504166627,1.056412449,7.386857761,0.077305978,0.039530559,,,,,,,,,,,,
133,0.351683268,-0.940829592,1.008841442,0.008213718,0.005398786,,,,,,,,,,,,
134,0.273498328,-3.159274639,10.05581758,0.128217143,0.053813422,,,,,,,,,,,,
135,-0.196541641,-2.676756632,7.203654685,0.081677429,0.038550153,,,,,,,,,,,,
136,2.744170785,-1.571817006,10.00108199,0.139005024,0.053520506,,,,,,,,,,,,
137,1.233347128,2.521214357,7.877666974,0.081152125,0.042157111,,,,,,,,,,,,
138,2.952963963,0.180402519,8.752541238,0.029748063,0.046838975,,,,,,,,,,,,
139,-0.218736237,-0.292407109,0.133347459,0.001862122,0.000713605,,,,,,,,,,,,
140,1.242626874,-0.683389565,2.011142846,0.027899631,0.010762574,,,,,,,,,,,,
141,-0.126603252,-1.618034251,2.634063222,0.027492365,0.014096114,,,,,,,,,,,,
142,1.692044191,-0.173116683,2.89298293,0.028592931,0.015481716,,,,,,,,,,,,
143,1.170017097,-1.080360617,2.53611907,0.032976893,0.013571969,,,,,,,,,,,,
144,2.592067131,-2.476162243,12.85019147,0.035748407,0.068767434,,,,,,,,,,,,
145,1.665798658,0.796135795,3.408717373,0.007084595,0.018241654,,,,,,,,,,,,
