"","16_12_09","06_16_13_1","06_16_13_2","06_16_13_3","06_16_13_4","06_16_13_5","06_16_13_6","06_16_13_7","07_17_14_1","07_17_14_2","07_17_14_3","08_20_16_1","08_20_16_2","08_22_18","09_31_20_1","09_31_20_2","09_31_20_3","09_31_20_4","09_31_20_5","10_32_19_1","10_32_19_2","10_32_19_3","10_32_19_4","10_32_19_5","10_32_19_6","10_32_19_7","10_32_19_8","11_19_15_1","11_19_15_2","11_19_15_3","11_19_15_4","11_19_15_5","11_19_15_6","11_19_15_7","11_19_15_8","11_19_15_9","11_19_15_10","11_19_15_11","work_sector","domain","funding_agency","region","survey_label","dim_1","dim_2","contrib"
"132","3","2","2","2","2","2","2","2","3","2","2","3","1","4","2","3","3","3","3","2","2","2","2","2","2","2","3","1","1","1","1","2","1","2","1","1","1","1","Academic","Natural science","Federal/national government","USACanada","S1",2.52327243043141,-0.671645844615525,0.0245287416314867
"133","2","1","2","2","2","1","2","2","2","4","5","2","3","4","1","2","4","4","4","1","1","2","2","3","2","1","2","1","1","1","1","1","2","2","1","2","2","1","Academic","Natural science","State/regional government","EuroRussia","S1",-0.0188129909237168,-0.948365288878088,0.00323697751614729
"134","1","1","2","2","1","1","2","2","4","2","4","4","2","4","1","2","2","2","2","2","2","2","3","4","2","1","2","1","1","1","1","2","1","1","1","2",NA,"2","Government","Natural science","Federal/national government","USACanada","S1",-0.0241287128432288,-3.13541970573274,0.0353699625139061
"135","2","1","1","2","2","2","2","2","3","3","4","5","5","5","2","2","2","2","2","1","1","2","1","3","1","1","1","1","1","1",NA,"2",NA,"2","2","2","1","1","Academic","Natural science","Federal/national government","EuroRussia","S1",-0.87326538730502,-1.88395353869747,0.0155125613559334
"136","2","2","2","2","1","1","1","2","2","3","3","5","5","3","2","2","1","1","1","2","1","2","1","3","1","1","2","1","1","1","1","1","1","1","1","1","1","1","Academic","Natural science","State/regional government","USACanada","S1",2.12837281591547,-0.530709618292017,0.0173104817729563
"137","1","2","2","2","2","2","2","2","1","2","2","1","1","2","4","4","1","3","1","2","2","4","1","2","3","1","2","1","1","1","1","1","1","1","1","2","2","2","Academic","Natural science","Federal/national government","USACanada","S1",1.06685422083945,1.48903319785195,0.0120715080514975
"138",NA,"2","2","2","1","2","2","2","2","3","3","2","2","3","3","3","2","2","2","2","2","3","3","2","2","1","2","1","1","1","1","2","1",NA,NA,"1","1","1","Academic","Natural science","Federal/national government","EuroRussia","S1",2.93613970484923,-1.06463192914644,0.0350926514532198
"139","2","1","2","2","1","2","2","2","2","2","3","3","3","3","2","2","3","3","3","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","2","2","1","2","Academic","Natural science","Federal/national government","USACanada","S1",-0.521523799898206,-1.68238888330125,0.0111613833657815
"140","2","1","1","2","1","2","2","2","2","3","2","3","3","5","2","2","1","3","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","2","1","1","Academic","Natural science","Federal/national government","USACanada","S1",0.93345285551309,0.16355095135522,0.00323097844463176
"141","2","2","1","2","1","1","1","2","4","4","1","4","4","5","4","4","1","2","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","2","Government","Natural science","Federal/national government","EuroRussia","S1",-0.799707147700381,-0.10030242431417,0.00233699749784136
"142","2","2","2","2","2","1","2","1","2","2","5","2","2","5","2","2","4","4","3","1","1","3","2","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Academic","Natural science","Federal/national government","USACanada","S1",1.48200308971217,0.273823721668723,0.00817136145756731
